WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DiseasePresentation,Vaccination,Selection
Americas,BSI,50 to 54,Acinetobacter baumannii,794.744606019161,418.782742850512,1282.67575808988,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,55 to 59,Acinetobacter baumannii,1213.03260482083,670.450683804007,1977.32925178573,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,60 to 64,Acinetobacter baumannii,1603.11764650454,878.036276053386,2583.45008425602,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,65 to 69,Acinetobacter baumannii,1893.80855419218,1126.35802037347,2908.79414890247,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,70 to 74,Acinetobacter baumannii,3037.76187845137,1518.53521056587,5328.41986888279,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,75 to 79,Acinetobacter baumannii,2834.18548504765,1464.9800472169,4894.50743703651,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,80 to 84,Acinetobacter baumannii,2709.66868664733,1450.92783412657,4482.43085070856,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,85 to 89,Acinetobacter baumannii,2337.86205556589,1176.72495491579,4005.53914797015,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,90 to 94,Acinetobacter baumannii,1465.91224323342,668.450380280596,2768.55532719559,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,95 plus,Acinetobacter baumannii,759.756302747596,320.538526134574,1515.5223481776,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,EN,Acinetobacter baumannii,0.416418706131923,0.226175385327903,0.730078215724492,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,LN,Acinetobacter baumannii,0.475245318171507,0.196445570832504,1.15486770062744,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,PN,Acinetobacter baumannii,5.79783702786658,3.11666066193388,10.0264836996813,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,1 to 4,Acinetobacter baumannii,3.58789976050667,2.08319595041165,5.75749861242163,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,5 to 9,Acinetobacter baumannii,4.03677013670416,2.78784220426044,6.2653826434451,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,10 to 14,Acinetobacter baumannii,5.86186635514432,4.25239808318319,8.5217791963014,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,15 to 19,Acinetobacter baumannii,9.67204300786393,6.88559212299857,14.4979589014791,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,20 to 24,Acinetobacter baumannii,15.3158493235221,10.7577519299523,23.6581922865926,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,25 to 29,Acinetobacter baumannii,21.5610506923398,15.5951292171853,30.0376221872438,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,30 to 34,Acinetobacter baumannii,26.0640789871544,18.8215443862167,36.6221697171344,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,35 to 39,Acinetobacter baumannii,33.8262655944184,25.0031991254966,46.8846235480571,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,40 to 44,Acinetobacter baumannii,41.0149611827886,30.5937163587777,54.1742687365136,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,45 to 49,Acinetobacter baumannii,50.9746702218283,37.2178036687464,67.8880737576326,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,50 to 54,Acinetobacter baumannii,53.1565940280601,37.9265762732014,68.5305845217296,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,55 to 59,Acinetobacter baumannii,73.1916412747788,52.0339242985558,97.1763340477321,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,60 to 64,Acinetobacter baumannii,91.0342194379476,64.1059580063905,120.565006927355,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,65 to 69,Acinetobacter baumannii,109.708528366172,77.2707008351007,141.61687304168,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,70 to 74,Acinetobacter baumannii,182.76171126798,125.254583766124,247.33890389393,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,75 to 79,Acinetobacter baumannii,203.632584037354,138.109042946446,269.494441311479,0.7,0.7,5,BSI,60 or above,Yes
Americas,Cardiac infections,80 to 84,Acinetobacter baumannii,218.021514713559,146.261813351408,288.411819779421,0.7,0.7,5,BSI,60 or above,Yes
